:END_ID(node),:START_ID(node),:TYPE,name
41,42,上线时间,上线时间
42,41,干员代号,干员代号
63,42,特性,特性
42,63,特性,特性
61,42,能力标签,能力标签
42,61,能力标签,能力标签
62,42,能力标签,能力标签
42,62,能力标签,能力标签
23,42,活跃领域,活跃领域
42,23,活跃领域,活跃领域
74,73,英文代号,英文代号
73,74,干员代号,干员代号
75,73,日文代号,日文代号
73,75,干员代号,干员代号
73,45,绘制,绘制
45,73,绘制者,绘制者
73,76,配音,配音
76,73,配音者,配音者
77,73,星座,星座
73,77,干员代号,干员代号
78,73,诞生月,诞生月
73,78,干员代号,干员代号
49,73,诞生地,诞生地
73,49,干员代号,干员代号
79,73,种族,种族
73,79,干员代号,干员代号
80,73,身高,身高
73,80,干员代号,干员代号
81,73,最高速度,最高速度
73,81,干员代号,干员代号
53,73,爬坡能力,爬坡能力
73,53,干员代号,干员代号
54,73,制动效能,制动效能
73,54,干员代号,干员代号
55,73,通过性,通过性
73,55,干员代号,干员代号
56,73,续航,续航
73,56,干员代号,干员代号
57,73,结构稳定性,结构稳定性
73,57,干员代号,干员代号
82,73,信物,信物
73,82,干员代号,干员代号
83,73,职业,职业
73,83,干员代号,干员代号
24,73,作战范围,作战范围
73,24,干员代号,干员代号
64,73,再部署时长,再部署时长
73,64,干员代号,干员代号
65,73,初始费用,初始费用
73,65,干员代号,干员代号
66,73,最终费用,最终费用
73,66,干员代号,干员代号
33,73,最大阻挡数,最大阻挡数
73,33,干员代号,干员代号
86,73,攻击速度,攻击速度
73,86,干员代号,干员代号
87,73,生命上限,生命上限
73,87,干员代号,干员代号
88,73,攻击力,攻击力
73,88,干员代号,干员代号
89,73,防御力,防御力
73,89,干员代号,干员代号
71,73,法术抗性,法术抗性
73,71,干员代号,干员代号
72,73,星级,星级
73,72,干员代号,干员代号
40,73,限定情况,限定情况
73,40,干员代号,干员代号
41,73,上线时间,上线时间
73,41,干员代号,干员代号
85,73,特性,特性
73,85,特性,特性
84,73,能力标签,能力标签
73,84,能力标签,能力标签
62,73,能力标签,能力标签
73,62,能力标签,能力标签
23,73,活跃领域,活跃领域
73,23,活跃领域,活跃领域
91,90,英文代号,英文代号
90,91,干员代号,干员代号
92,90,日文代号,日文代号
90,92,干员代号,干员代号
90,45,绘制,绘制
45,90,绘制者,绘制者
90,93,配音,配音
93,90,配音者,配音者
94,90,星座,星座
90,94,干员代号,干员代号
95,90,诞生月,诞生月
90,95,干员代号,干员代号
49,90,诞生地,诞生地
90,49,干员代号,干员代号
96,90,种族,种族
90,96,干员代号,干员代号
97,90,身高,身高
90,97,干员代号,干员代号
98,90,最高速度,最高速度
90,98,干员代号,干员代号
53,90,爬坡能力,爬坡能力
90,53,干员代号,干员代号
54,90,制动效能,制动效能
90,54,干员代号,干员代号
55,90,通过性,通过性
90,55,干员代号,干员代号
99,90,续航,续航
90,99,干员代号,干员代号
57,90,结构稳定性,结构稳定性
90,57,干员代号,干员代号
100,90,信物,信物
90,100,干员代号,干员代号
101,90,职业,职业
90,101,干员代号,干员代号
60,90,作战范围,作战范围
90,60,干员代号,干员代号
64,90,再部署时长,再部署时长
90,64,干员代号,干员代号
65,90,初始费用,初始费用
90,65,干员代号,干员代号
66,90,最终费用,最终费用
90,66,干员代号,干员代号
104,90,最大阻挡数,最大阻挡数
90,104,干员代号,干员代号
105,90,攻击速度,攻击速度
90,105,干员代号,干员代号
106,90,生命上限,生命上限
90,106,干员代号,干员代号
107,90,攻击力,攻击力
90,107,干员代号,干员代号
108,90,防御力,防御力
90,108,干员代号,干员代号
109,90,法术抗性,法术抗性
90,109,干员代号,干员代号
72,90,星级,星级
90,72,干员代号,干员代号
40,90,限定情况,限定情况
90,40,干员代号,干员代号
110,90,上线时间,上线时间
90,110,干员代号,干员代号
103,90,特性,特性
90,103,特性,特性
102,90,能力标签,能力标签
90,102,能力标签,能力标签
62,90,能力标签,能力标签
90,62,能力标签,能力标签
23,90,活跃领域,活跃领域
90,23,活跃领域,活跃领域
112,111,英文代号,英文代号
111,112,干员代号,干员代号
113,111,日文代号,日文代号
111,113,干员代号,干员代号
111,114,绘制,绘制
114,111,绘制者,绘制者
111,115,配音,配音
115,111,配音者,配音者
116,111,性别,性别
111,116,干员代号,干员代号
117,111,诞生地,诞生地
111,117,干员代号,干员代号
118,111,种族,种族
111,118,干员代号,干员代号
119,111,身高,身高
111,119,干员代号,干员代号
12,111,物理强度,物理强度
111,12,干员代号,干员代号
120,111,战场机动,战场机动
111,120,干员代号,干员代号
121,111,生理耐受,生理耐受
111,121,干员代号,干员代号
122,111,战术规划,战术规划
111,122,干员代号,干员代号
123,111,战斗技巧,战斗技巧
111,123,干员代号,干员代号
17,111,源石技艺适应性,源石技艺适应性
111,17,干员代号,干员代号
124,111,是否感染,是否感染
111,124,干员代号,干员代号
125,111,体细胞与源石融合率,体细胞与源石融合率
111,125,干员代号,干员代号
126,111,血液源石结晶密度,血液源石结晶密度
111,126,干员代号,干员代号
127,111,信物,信物
111,127,干员代号,干员代号
128,111,职业,职业
111,128,干员代号,干员代号
24,111,作战范围,作战范围
111,24,干员代号,干员代号
30,111,再部署时长,再部署时长
111,30,干员代号,干员代号
133,111,初始费用,初始费用
111,133,干员代号,干员代号
134,111,最终费用,最终费用
111,134,干员代号,干员代号
33,111,最大阻挡数,最大阻挡数
111,33,干员代号,干员代号
135,111,攻击速度,攻击速度
111,135,干员代号,干员代号
136,111,生命上限,生命上限
111,136,干员代号,干员代号
137,111,攻击力,攻击力
111,137,干员代号,干员代号
138,111,防御力,防御力
111,138,干员代号,干员代号
71,111,法术抗性,法术抗性
111,71,干员代号,干员代号
139,111,星级,星级
111,139,干员代号,干员代号
140,111,限定情况,限定情况
111,140,干员代号,干员代号
110,111,上线时间,上线时间
111,110,干员代号,干员代号
132,111,特性,特性
111,132,特性,特性
130,111,能力标签,能力标签
111,130,能力标签,能力标签
131,111,能力标签,能力标签
111,131,能力标签,能力标签
129,111,活跃领域,活跃领域
111,129,活跃领域,活跃领域
28,111,潜能,潜能
111,28,潜能,潜能
29,111,潜能,潜能
111,29,潜能,潜能
27,111,潜能,潜能
111,27,潜能,潜能
142,141,英文代号,英文代号
141,142,干员代号,干员代号
143,141,日文代号,日文代号
141,143,干员代号,干员代号
141,144,绘制,绘制
144,141,绘制者,绘制者
141,145,配音,配音
145,141,配音者,配音者
6,141,性别,性别
141,6,干员代号,干员代号
146,141,星座,星座
141,146,干员代号,干员代号
147,141,诞生月,诞生月
141,147,干员代号,干员代号
148,141,诞生地,诞生地
141,148,干员代号,干员代号
149,141,种族,种族
141,149,干员代号,干员代号
150,141,身高,身高
141,150,干员代号,干员代号
12,141,物理强度,物理强度
141,12,干员代号,干员代号
151,141,战场机动,战场机动
141,151,干员代号,干员代号
14,141,生理耐受,生理耐受
141,14,干员代号,干员代号
152,141,战术规划,战术规划
141,152,干员代号,干员代号
123,141,战斗技巧,战斗技巧
141,123,干员代号,干员代号
17,141,源石技艺适应性,源石技艺适应性
141,17,干员代号,干员代号
124,141,是否感染,是否感染
141,124,干员代号,干员代号
125,141,体细胞与源石融合率,体细胞与源石融合率
141,125,干员代号,干员代号
153,141,血液源石结晶密度,血液源石结晶密度
141,153,干员代号,干员代号
154,141,信物,信物
141,154,干员代号,干员代号
101,141,职业,职业
141,101,干员代号,干员代号
60,141,作战范围,作战范围
141,60,干员代号,干员代号
159,141,再部署时长,再部署时长
141,159,干员代号,干员代号
160,141,初始费用,初始费用
141,160,干员代号,干员代号
161,141,最终费用,最终费用
141,161,干员代号,干员代号
33,141,最大阻挡数,最大阻挡数
141,33,干员代号,干员代号
105,141,攻击速度,攻击速度
141,105,干员代号,干员代号
162,141,生命上限,生命上限
141,162,干员代号,干员代号
163,141,攻击力,攻击力
141,163,干员代号,干员代号
164,141,防御力,防御力
141,164,干员代号,干员代号
71,141,法术抗性,法术抗性
141,71,干员代号,干员代号
139,141,星级,星级
141,139,干员代号,干员代号
40,141,限定情况,限定情况
141,40,干员代号,干员代号
165,141,上线时间,上线时间
141,165,干员代号,干员代号
157,141,特性,特性
141,157,特性,特性
156,141,能力标签,能力标签
141,156,能力标签,能力标签
130,141,能力标签,能力标签
141,130,能力标签,能力标签
131,141,能力标签,能力标签
141,131,能力标签,能力标签
155,141,活跃领域,活跃领域
141,155,活跃领域,活跃领域
28,141,潜能,潜能
141,28,潜能,潜能
29,141,潜能,潜能
141,29,潜能,潜能
158,141,潜能,潜能
141,158,潜能,潜能
27,141,潜能,潜能
141,27,潜能,潜能
167,166,英文代号,英文代号
166,167,干员代号,干员代号
168,166,日文代号,日文代号
166,168,干员代号,干员代号
166,169,绘制,绘制
169,166,绘制者,绘制者
166,170,配音,配音
170,166,配音者,配音者
116,166,性别,性别
166,116,干员代号,干员代号
94,166,星座,星座
166,94,干员代号,干员代号
147,166,诞生月,诞生月
166,147,干员代号,干员代号
171,166,诞生地,诞生地
166,171,干员代号,干员代号
172,166,种族,种族
166,172,干员代号,干员代号
173,166,身高,身高
166,173,干员代号,干员代号
12,166,物理强度,物理强度
166,12,干员代号,干员代号
120,166,战场机动,战场机动
166,120,干员代号,干员代号
14,166,生理耐受,生理耐受
166,14,干员代号,干员代号
15,166,战术规划,战术规划
166,15,干员代号,干员代号
16,166,战斗技巧,战斗技巧
166,16,干员代号,干员代号
174,166,源石技艺适应性,源石技艺适应性
166,174,干员代号,干员代号
124,166,是否感染,是否感染
166,124,干员代号,干员代号
175,166,体细胞与源石融合率,体细胞与源石融合率
166,175,干员代号,干员代号
176,166,血液源石结晶密度,血液源石结晶密度
166,176,干员代号,干员代号
177,166,信物,信物
166,177,干员代号,干员代号
83,166,职业,职业
166,83,干员代号,干员代号
24,166,作战范围,作战范围
166,24,干员代号,干员代号
30,166,再部署时长,再部署时长
166,30,干员代号,干员代号
179,166,初始费用,初始费用
166,179,干员代号,干员代号
180,166,最终费用,最终费用
166,180,干员代号,干员代号
33,166,最大阻挡数,最大阻挡数
166,33,干员代号,干员代号
86,166,攻击速度,攻击速度
166,86,干员代号,干员代号
181,166,生命上限,生命上限
166,181,干员代号,干员代号
182,166,攻击力,攻击力
166,182,干员代号,干员代号
183,166,防御力,防御力
166,183,干员代号,干员代号
71,166,法术抗性,法术抗性
166,71,干员代号,干员代号
184,166,星级,星级
166,184,干员代号,干员代号
40,166,限定情况,限定情况
166,40,干员代号,干员代号
41,166,上线时间,上线时间
166,41,干员代号,干员代号
178,166,特性,特性
166,178,特性,特性
84,166,能力标签,能力标签
166,84,能力标签,能力标签
23,166,活跃领域,活跃领域
166,23,活跃领域,活跃领域
28,166,潜能,潜能
166,28,潜能,潜能
29,166,潜能,潜能
166,29,潜能,潜能
27,166,潜能,潜能
166,27,潜能,潜能
186,185,英文代号,英文代号
185,186,干员代号,干员代号
187,185,日文代号,日文代号
185,187,干员代号,干员代号
185,188,绘制,绘制
188,185,绘制者,绘制者
185,189,配音,配音
189,185,配音者,配音者
116,185,性别,性别
185,116,干员代号,干员代号
77,185,星座,星座
185,77,干员代号,干员代号
190,185,诞生月,诞生月
185,190,干员代号,干员代号
191,185,诞生地,诞生地
185,191,干员代号,干员代号
192,185,种族,种族
185,192,干员代号,干员代号
193,185,身高,身高
185,193,干员代号,干员代号
194,185,物理强度,物理强度
185,194,干员代号,干员代号
13,185,战场机动,战场机动
185,13,干员代号,干员代号
121,185,生理耐受,生理耐受
185,121,干员代号,干员代号
152,185,战术规划,战术规划
185,152,干员代号,干员代号
123,185,战斗技巧,战斗技巧
185,123,干员代号,干员代号
174,185,源石技艺适应性,源石技艺适应性
185,174,干员代号,干员代号
124,185,是否感染,是否感染
185,124,干员代号,干员代号
195,185,信物,信物
185,195,干员代号,干员代号
196,185,职业,职业
185,196,干员代号,干员代号
60,185,作战范围,作战范围
185,60,干员代号,干员代号
30,185,再部署时长,再部署时长
185,30,干员代号,干员代号
201,185,初始费用,初始费用
185,201,干员代号,干员代号
202,185,最终费用,最终费用
185,202,干员代号,干员代号
203,185,最大阻挡数,最大阻挡数
185,203,干员代号,干员代号
204,185,攻击速度,攻击速度
185,204,干员代号,干员代号
205,185,生命上限,生命上限
185,205,干员代号,干员代号
206,185,攻击力,攻击力
185,206,干员代号,干员代号
207,185,防御力,防御力
185,207,干员代号,干员代号
38,185,法术抗性,法术抗性
185,38,干员代号,干员代号
208,185,星级,星级
185,208,干员代号,干员代号
40,185,限定情况,限定情况
185,40,干员代号,干员代号
41,185,上线时间,上线时间
185,41,干员代号,干员代号
199,185,特性,特性
185,199,特性,特性
84,185,能力标签,能力标签
185,84,能力标签,能力标签
198,185,能力标签,能力标签
185,198,能力标签,能力标签
197,185,活跃领域,活跃领域
185,197,活跃领域,活跃领域
29,185,潜能,潜能
185,29,潜能,潜能
200,185,潜能,潜能
185,200,潜能,潜能
27,185,潜能,潜能
185,27,潜能,潜能
210,209,英文代号,英文代号
209,210,干员代号,干员代号
209,144,绘制,绘制
144,209,绘制者,绘制者
209,211,配音,配音
211,209,配音者,配音者
6,209,性别,性别
209,6,干员代号,干员代号
146,209,星座,星座
209,146,干员代号,干员代号
147,209,诞生月,诞生月
209,147,干员代号,干员代号
212,209,诞生地,诞生地
209,212,干员代号,干员代号
213,209,种族,种族
209,213,干员代号,干员代号
214,209,身高,身高
209,214,干员代号,干员代号
12,209,物理强度,物理强度
209,12,干员代号,干员代号
120,209,战场机动,战场机动
209,120,干员代号,干员代号
121,209,生理耐受,生理耐受
209,121,干员代号,干员代号
15,209,战术规划,战术规划
209,15,干员代号,干员代号
123,209,战斗技巧,战斗技巧
209,123,干员代号,干员代号
17,209,源石技艺适应性,源石技艺适应性
209,17,干员代号,干员代号
18,209,是否感染,是否感染
209,18,干员代号,干员代号
19,209,体细胞与源石融合率,体细胞与源石融合率
209,19,干员代号,干员代号
215,209,血液源石结晶密度,血液源石结晶密度
209,215,干员代号,干员代号
216,209,信物,信物
209,216,干员代号,干员代号
101,209,职业,职业
209,101,干员代号,干员代号
60,209,作战范围,作战范围
209,60,干员代号,干员代号
219,209,再部署时长,再部署时长
209,219,干员代号,干员代号
220,209,初始费用,初始费用
209,220,干员代号,干员代号
221,209,最终费用,最终费用
209,221,干员代号,干员代号
33,209,最大阻挡数,最大阻挡数
209,33,干员代号,干员代号
222,209,攻击速度,攻击速度
209,222,干员代号,干员代号
223,209,生命上限,生命上限
209,223,干员代号,干员代号
224,209,攻击力,攻击力
209,224,干员代号,干员代号
225,209,防御力,防御力
209,225,干员代号,干员代号
71,209,法术抗性,法术抗性
209,71,干员代号,干员代号
208,209,星级,星级
209,208,干员代号,干员代号
40,209,限定情况,限定情况
209,40,干员代号,干员代号
226,209,上线时间,上线时间
209,226,干员代号,干员代号
218,209,特性,特性
209,218,特性,特性
156,209,能力标签,能力标签
209,156,能力标签,能力标签
130,209,能力标签,能力标签
209,130,能力标签,能力标签
217,209,活跃领域,活跃领域
209,217,活跃领域,活跃领域
28,209,潜能,潜能
209,28,潜能,潜能
29,209,潜能,潜能
209,29,潜能,潜能
27,209,潜能,潜能
209,27,潜能,潜能
228,227,英文代号,英文代号
227,228,干员代号,干员代号
229,227,日文代号,日文代号
227,229,干员代号,干员代号
227,230,绘制,绘制
230,227,绘制者,绘制者
227,231,配音,配音
231,227,配音者,配音者
116,227,性别,性别
227,116,干员代号,干员代号
232,227,星座,星座
227,232,干员代号,干员代号
233,227,诞生月,诞生月
227,233,干员代号,干员代号
234,227,诞生地,诞生地
227,234,干员代号,干员代号
149,227,种族,种族
227,149,干员代号,干员代号
235,227,身高,身高
227,235,干员代号,干员代号
12,227,物理强度,物理强度
227,12,干员代号,干员代号
120,227,战场机动,战场机动
227,120,干员代号,干员代号
14,227,生理耐受,生理耐受
227,14,干员代号,干员代号
15,227,战术规划,战术规划
227,15,干员代号,干员代号
16,227,战斗技巧,战斗技巧
227,16,干员代号,干员代号
174,227,源石技艺适应性,源石技艺适应性
227,174,干员代号,干员代号
124,227,是否感染,是否感染
227,124,干员代号,干员代号
236,227,体细胞与源石融合率,体细胞与源石融合率
227,236,干员代号,干员代号
237,227,血液源石结晶密度,血液源石结晶密度
227,237,干员代号,干员代号
238,227,信物,信物
227,238,干员代号,干员代号
83,227,职业,职业
227,83,干员代号,干员代号
24,227,作战范围,作战范围
227,24,干员代号,干员代号
240,227,再部署时长,再部署时长
227,240,干员代号,干员代号
241,227,初始费用,初始费用
227,241,干员代号,干员代号
202,227,最终费用,最终费用
227,202,干员代号,干员代号
33,227,最大阻挡数,最大阻挡数
227,33,干员代号,干员代号
86,227,攻击速度,攻击速度
227,86,干员代号,干员代号
242,227,生命上限,生命上限
227,242,干员代号,干员代号
243,227,攻击力,攻击力
227,243,干员代号,干员代号
138,227,防御力,防御力
227,138,干员代号,干员代号
71,227,法术抗性,法术抗性
227,71,干员代号,干员代号
208,227,星级,星级
227,208,干员代号,干员代号
140,227,限定情况,限定情况
227,140,干员代号,干员代号
244,227,上线时间,上线时间
227,244,干员代号,干员代号
239,227,特性,特性
227,239,特性,特性
84,227,能力标签,能力标签
227,84,能力标签,能力标签
130,227,能力标签,能力标签
227,130,能力标签,能力标签
23,227,活跃领域,活跃领域
227,23,活跃领域,活跃领域
29,227,潜能,潜能
227,29,潜能,潜能
27,227,潜能,潜能
227,27,潜能,潜能
246,245,英文代号,英文代号
245,246,干员代号,干员代号
247,245,日文代号,日文代号
245,247,干员代号,干员代号
245,248,绘制,绘制
248,245,绘制者,绘制者
245,249,配音,配音
249,245,配音者,配音者
6,245,性别,性别
245,6,干员代号,干员代号
94,245,星座,星座
245,94,干员代号,干员代号
147,245,诞生月,诞生月
245,147,干员代号,干员代号
250,245,诞生地,诞生地
245,250,干员代号,干员代号
10,245,种族,种族
245,10,干员代号,干员代号
251,245,身高,身高
245,251,干员代号,干员代号
12,245,物理强度,物理强度
245,12,干员代号,干员代号
120,245,战场机动,战场机动
245,120,干员代号,干员代号
14,245,生理耐受,生理耐受
245,14,干员代号,干员代号
15,245,战术规划,战术规划
245,15,干员代号,干员代号
16,245,战斗技巧,战斗技巧
245,16,干员代号,干员代号
174,245,源石技艺适应性,源石技艺适应性
245,174,干员代号,干员代号
124,245,是否感染,是否感染
245,124,干员代号,干员代号
252,245,体细胞与源石融合率,体细胞与源石融合率
245,252,干员代号,干员代号
253,245,血液源石结晶密度,血液源石结晶密度
245,253,干员代号,干员代号
254,245,信物,信物
245,254,干员代号,干员代号
101,245,职业,职业
245,101,干员代号,干员代号
60,245,作战范围,作战范围
245,60,干员代号,干员代号
30,245,再部署时长,再部署时长
245,30,干员代号,干员代号
201,245,初始费用,初始费用
245,201,干员代号,干员代号
257,245,最终费用,最终费用
245,257,干员代号,干员代号
104,245,最大阻挡数,最大阻挡数
245,104,干员代号,干员代号
258,245,攻击速度,攻击速度
245,258,干员代号,干员代号
259,245,生命上限,生命上限
245,259,干员代号,干员代号
260,245,攻击力,攻击力
245,260,干员代号,干员代号
261,245,防御力,防御力
245,261,干员代号,干员代号
262,245,法术抗性,法术抗性
245,262,干员代号,干员代号
184,245,星级,星级
245,184,干员代号,干员代号
40,245,限定情况,限定情况
245,40,干员代号,干员代号
263,245,上线时间,上线时间
245,263,干员代号,干员代号
256,245,特性,特性
245,256,特性,特性
255,245,特性,特性
245,255,特性,特性
130,245,能力标签,能力标签
245,130,能力标签,能力标签
131,245,能力标签,能力标签
245,131,能力标签,能力标签
23,245,活跃领域,活跃领域
245,23,活跃领域,活跃领域
29,245,潜能,潜能
245,29,潜能,潜能
158,245,潜能,潜能
245,158,潜能,潜能
27,245,潜能,潜能
245,27,潜能,潜能
265,264,英文代号,英文代号
264,265,干员代号,干员代号
266,264,日文代号,日文代号
264,266,干员代号,干员代号
264,267,绘制,绘制
267,264,绘制者,绘制者
264,268,配音,配音
268,264,配音者,配音者
116,264,性别,性别
264,116,干员代号,干员代号
269,264,星座,星座
264,269,干员代号,干员代号
270,264,诞生月,诞生月
264,270,干员代号,干员代号
250,264,诞生地,诞生地
264,250,干员代号,干员代号
12,264,物理强度,物理强度
264,12,干员代号,干员代号
120,264,战场机动,战场机动
264,120,干员代号,干员代号
14,264,生理耐受,生理耐受
264,14,干员代号,干员代号
271,264,战术规划,战术规划
264,271,干员代号,干员代号
16,264,战斗技巧,战斗技巧
264,16,干员代号,干员代号
272,264,源石技艺适应性,源石技艺适应性
264,272,干员代号,干员代号
124,264,是否感染,是否感染
264,124,干员代号,干员代号
273,264,体细胞与源石融合率,体细胞与源石融合率
264,273,干员代号,干员代号
274,264,血液源石结晶密度,血液源石结晶密度
264,274,干员代号,干员代号
275,264,信物,信物
264,275,干员代号,干员代号
22,264,职业,职业
264,22,干员代号,干员代号
24,264,作战范围,作战范围
264,24,干员代号,干员代号
30,264,再部署时长,再部署时长
264,30,干员代号,干员代号
281,264,初始费用,初始费用
264,281,干员代号,干员代号
282,264,最终费用,最终费用
264,282,干员代号,干员代号
33,264,最大阻挡数,最大阻挡数
264,33,干员代号,干员代号
34,264,攻击速度,攻击速度
264,34,干员代号,干员代号
283,264,生命上限,生命上限
264,283,干员代号,干员代号
284,264,攻击力,攻击力
264,284,干员代号,干员代号
285,264,防御力,防御力
264,285,干员代号,干员代号
286,264,法术抗性,法术抗性
264,286,干员代号,干员代号
139,264,星级,星级
264,139,干员代号,干员代号
40,264,限定情况,限定情况
264,40,干员代号,干员代号
41,264,上线时间,上线时间
264,41,干员代号,干员代号
280,264,特性,特性
264,280,特性,特性
279,264,能力标签,能力标签
264,279,能力标签,能力标签
278,264,能力标签,能力标签
264,278,能力标签,能力标签
276,264,活跃领域,活跃领域
264,276,活跃领域,活跃领域
277,264,活跃领域,活跃领域
264,277,活跃领域,活跃领域
28,264,潜能,潜能
264,28,潜能,潜能
27,264,潜能,潜能
264,27,潜能,潜能
288,287,英文代号,英文代号
287,288,干员代号,干员代号
289,287,日文代号,日文代号
287,289,干员代号,干员代号
287,290,绘制,绘制
290,287,绘制者,绘制者
287,291,配音,配音
291,287,配音者,配音者
116,287,性别,性别
287,116,干员代号,干员代号
292,287,星座,星座
287,292,干员代号,干员代号
293,287,诞生月,诞生月
287,293,干员代号,干员代号
294,287,诞生地,诞生地
287,294,干员代号,干员代号
295,287,种族,种族
287,295,干员代号,干员代号
296,287,身高,身高
287,296,干员代号,干员代号
12,287,物理强度,物理强度
287,12,干员代号,干员代号
120,287,战场机动,战场机动
287,120,干员代号,干员代号
14,287,生理耐受,生理耐受
287,14,干员代号,干员代号
15,287,战术规划,战术规划
287,15,干员代号,干员代号
123,287,战斗技巧,战斗技巧
287,123,干员代号,干员代号
17,287,源石技艺适应性,源石技艺适应性
287,17,干员代号,干员代号
124,287,是否感染,是否感染
287,124,干员代号,干员代号
297,287,体细胞与源石融合率,体细胞与源石融合率
287,297,干员代号,干员代号
298,287,血液源石结晶密度,血液源石结晶密度
287,298,干员代号,干员代号
299,287,信物,信物
287,299,干员代号,干员代号
128,287,职业,职业
287,128,干员代号,干员代号
24,287,作战范围,作战范围
287,24,干员代号,干员代号
30,287,再部署时长,再部署时长
287,30,干员代号,干员代号
302,287,初始费用,初始费用
287,302,干员代号,干员代号
303,287,最终费用,最终费用
287,303,干员代号,干员代号
33,287,最大阻挡数,最大阻挡数
287,33,干员代号,干员代号
222,287,攻击速度,攻击速度
287,222,干员代号,干员代号
304,287,生命上限,生命上限
287,304,干员代号,干员代号
305,287,攻击力,攻击力
287,305,干员代号,干员代号
306,287,防御力,防御力
287,306,干员代号,干员代号
71,287,法术抗性,法术抗性
287,71,干员代号,干员代号
307,287,星级,星级
287,307,干员代号,干员代号
40,287,限定情况,限定情况
287,40,干员代号,干员代号
41,287,上线时间,上线时间
287,41,干员代号,干员代号
301,287,特性,特性
287,301,特性,特性
130,287,能力标签,能力标签
287,130,能力标签,能力标签
23,287,活跃领域,活跃领域
287,23,活跃领域,活跃领域
300,287,活跃领域,活跃领域
287,300,活跃领域,活跃领域
28,287,潜能,潜能
